schemaVersion,recordType,content.company,content.date,content.is_remote,content.role_family,collectedAt
1.0,JOB,Feeling,2026-09-11T19:01:11+00:00,False,General,2026-09-11T20:15:42.958527+00:00
1.0,JOB,Feeling,2026-09-11T18:07:24+00:00,False,General,2026-09-11T20:15:42.958568+00:00
1.0,JOB,Feeling,2026-09-11T18:01:29+00:00,False,General,2026-09-11T20:15:42.958596+00:00
1.0,JOB,Ask,2026-09-11T17:57:09+00:00,True,Engineering,2026-09-11T20:15:42.959027+00:00
1.0,JOB,Measuring,2026-09-11T16:10:49+00:00,False,General,2026-09-11T20:15:42.959083+00:00
1.0,JOB,Houthis,2026-09-11T16:09:04+00:00,False,General,2026-09-11T20:15:42.959129+00:00
1.0,JOB,Measuring,2026-09-11T14:21:43+00:00,False,Engineering,2026-09-11T20:15:42.959150+00:00
1.0,JOB,Ask,2026-09-11T10:39:33+00:00,True,Engineering,2026-09-11T20:15:42.959173+00:00
1.0,JOB,AirPods,2026-09-11T07:59:35+00:00,False,General,2026-09-11T20:15:42.959189+00:00
1.0,JOB,Shopify,2026-09-11T03:37:19+00:00,False,General,2026-09-11T20:15:42.959205+00:00
1.0,JOB,Shopify,2026-09-11T03:03:45+00:00,False,General,2026-09-11T20:15:42.959218+00:00
1.0,JOB,Shopify,2026-09-11T03:02:10+00:00,False,Engineering,2026-09-11T20:15:42.959242+00:00
1.0,JOB,One,2026-09-10T23:14:17+00:00,False,Engineering,2026-09-11T20:15:42.959260+00:00
1.0,JOB,NTSB,2026-09-10T23:06:29+00:00,False,General,2026-09-11T20:15:42.959277+00:00
1.0,JOB,Ask,2026-09-10T22:15:25+00:00,True,Engineering,2026-09-11T20:15:42.959304+00:00
1.0,JOB,Playing,2026-09-10T22:08:31+00:00,False,General,2026-09-11T20:15:42.959325+00:00
